method,run,seed,crossover_rate,crossover_rate_final,allow_shape_mismatch_crossover,crossover_attempts,crossover_shape_match_events,crossover_shape_match_layers,crossover_shape_match_rate,crossover_shape_mismatch_events,crossover_shape_mismatch_layers,crossover_shape_mismatch_rate,final_loss,final_accuracy,final_params,final_topology,final_topology_share,most_common_topology,most_common_topology_share,first_final_topology_generation,first_majority_topology_generation,wall_seconds
svd_crossover_same_dim,34,34,0.5,,False,2847,1872,2908,0.6575342465753424,764,1394,0.26835265191429575,0.7747075303053478,0.7833333333333333,650,64-10,1.0,64-10,1.0,1,1,54.85833830000047
svd_crossover_same_dim,35,35,0.5,,False,2839,1857,3617,0.6541035575907009,983,1808,0.3462486791123635,0.6046285148843968,0.8361111111111111,2035,64-27-10,0.8,64-27-10,0.8,246,270,58.36799419999443
svd_crossover_same_dim,36,36,0.5,,False,2853,1675,2617,0.5871012968804767,957,1512,0.33543638275499477,0.8597443805972969,0.7194444444444444,2485,64-33-10,0.05,64-34-10,0.45,29,301,54.08189350000612
svd_crossover_same_dim,37,37,0.5,,False,2829,1881,2319,0.6648992576882291,539,738,0.19052668787557442,1.074732384896486,0.7027777777777777,650,64-10,1.0,64-10,1.0,1,1,50.35338420000335
svd_crossover_same_dim,38,38,0.5,,False,2787,1682,3235,0.6035163257983495,1007,1935,0.36132041621815575,0.7148165643391357,0.7777777777777778,1735,64-23-10,0.8,64-23-10,0.8,59,297,57.35180489999766
svd_crossover_same_dim,39,39,0.5,,False,2856,1639,3119,0.5738795518207283,1168,2248,0.40896358543417366,0.7372145164795428,0.8027777777777778,2035,64-27-10,0.05,64-29-10,0.65,101,301,59.25394970000343
svd_crossover_same_dim,40,40,0.5,,False,2840,1976,3687,0.6957746478873239,891,1520,0.3137323943661972,0.4948882969037577,0.8472222222222222,2560,64-34-10,0.8,64-34-10,0.8,276,293,59.22776789999625
svd_crossover_same_dim,41,41,0.5,,False,2835,1743,3150,0.6148148148148148,945,1673,0.3333333333333333,0.7149360902117432,0.8333333333333334,1735,64-23-10,0.25,64-24-10,0.65,35,301,56.376241600002686
svd_crossover_same_dim,42,42,0.5,,False,2859,1854,3239,0.6484784889821616,934,1769,0.32668765302553343,0.43422890135453035,0.8694444444444445,1735,64-23-10,0.7,64-23-10,0.7,81,274,55.56049509999866
svd_crossover_same_dim,43,43,0.5,,False,2808,1707,2979,0.6079059829059829,932,1670,0.3319088319088319,0.594142252535433,0.8222222222222222,2485,64-33-10,0.6,64-33-10,0.6,106,130,57.661689199994726
