method,run,seed,generation,best_loss,best_accuracy,best_params,best_topology,most_common_topology,most_common_topology_share,unique_topologies,final_topology_share
svd_crossover_same_dim,0,0,82,1.8579456715654228,0.4388888888888889,650,64-10,64-37-10,0.85,4,0.05
svd_crossover_same_dim,0,0,83,1.8506961567010822,0.45,2785,64-37-10,64-37-10,0.75,4,0.1
svd_crossover_same_dim,0,0,84,1.8416937215051576,0.41388888888888886,2785,64-37-10,64-37-10,0.75,4,0.1
svd_crossover_same_dim,0,0,85,1.7217378453825836,0.38333333333333336,2785,64-37-10,64-37-10,0.75,3,0.05
svd_crossover_same_dim,0,0,86,1.7148445308744893,0.38333333333333336,3519,64-37-23-10,64-37-10,0.6,4,0.15
svd_crossover_same_dim,0,0,87,1.7148445308744893,0.38333333333333336,3519,64-37-23-10,64-37-10,0.6,4,0.2
svd_crossover_same_dim,0,0,88,1.701402629373636,0.39444444444444443,3478,64-36-24-10,64-37-10,0.55,5,0.0
svd_crossover_same_dim,0,0,89,1.6948147111829788,0.4,3478,64-36-24-10,64-37-10,0.35,7,0.0
svd_crossover_same_dim,0,0,90,1.6903196641935057,0.40555555555555556,2785,64-37-10,64-36-24-10,0.4,6,0.0
svd_crossover_same_dim,0,0,91,1.6818524955810656,0.40555555555555556,3478,64-36-24-10,64-36-24-10,0.3,7,0.0
svd_crossover_same_dim,0,0,92,1.6816962280169157,0.425,1810,64-24-10,64-36-24-10,0.35,8,0.0
svd_crossover_same_dim,0,0,93,1.672713410427989,0.41944444444444445,2710,64-36-10,64-36-24-10,0.35,7,0.05
svd_crossover_same_dim,0,0,94,1.6628088716697385,0.42777777777777776,3478,64-36-24-10,64-36-24-10,0.5,6,0.05
svd_crossover_same_dim,0,0,95,1.6540977027750825,0.4305555555555556,2710,64-36-10,64-36-24-10,0.65,6,0.0
svd_crossover_same_dim,0,0,96,1.6205724755690654,0.475,3478,64-36-24-10,64-36-10,0.3,7,0.0
svd_crossover_same_dim,0,0,97,1.5926009586156462,0.43333333333333335,3478,64-36-24-10,64-36-24-10,0.5,5,0.0
svd_crossover_same_dim,0,0,98,1.5882727138844352,0.43333333333333335,3389,64-35-24-10,64-36-24-10,0.6,6,0.0
svd_crossover_same_dim,0,0,99,1.5808997027746796,0.44166666666666665,3389,64-35-24-10,64-35-24-10,0.35,6,0.0
svd_crossover_same_dim,0,0,100,1.5570319578919096,0.5333333333333333,3389,64-35-24-10,64-35-24-10,0.3,4,0.0
svd_crossover_same_dim,0,0,101,1.55043478017399,0.5361111111111111,3389,64-35-24-10,64-24-10,0.5,5,0.05
svd_crossover_same_dim,0,0,102,1.5438973384714927,0.5361111111111111,3389,64-35-24-10,64-35-24-10,0.35,6,0.0
svd_crossover_same_dim,0,0,103,1.5438973384714927,0.5361111111111111,3389,64-35-24-10,64-24-10,0.55,5,0.0
svd_crossover_same_dim,0,0,104,1.5309908467072473,0.5388888888888889,3389,64-35-24-10,64-35-24-10,0.45,7,0.05
svd_crossover_same_dim,0,0,105,1.5246811406621021,0.5361111111111111,3389,64-35-24-10,64-35-24-10,0.45,6,0.1
svd_crossover_same_dim,0,0,106,1.5214571939422759,0.5388888888888889,2635,64-35-10,64-35-24-10,0.5,7,0.0
svd_crossover_same_dim,0,0,107,1.5214571939422759,0.5388888888888889,2635,64-35-10,64-35-24-10,0.7,6,0.05
svd_crossover_same_dim,0,0,108,1.5138053243433636,0.5388888888888889,2635,64-35-10,64-35-24-10,0.6,5,0.0
svd_crossover_same_dim,0,0,109,1.5138053243433636,0.5388888888888889,2635,64-35-10,64-35-24-10,0.6,3,0.0
svd_crossover_same_dim,0,0,110,1.5040771267145294,0.5388888888888889,2635,64-35-10,64-35-10,0.65,5,0.05
svd_crossover_same_dim,0,0,111,1.493730946451767,0.5472222222222223,3389,64-35-24-10,64-35-10,0.55,5,0.0
svd_crossover_same_dim,0,0,112,1.4947596191521202,0.55,2635,64-35-10,64-35-10,0.55,4,0.0
svd_crossover_same_dim,0,0,113,1.4835638192864509,0.5583333333333333,2635,64-35-10,64-35-10,0.55,6,0.05
svd_crossover_same_dim,0,0,114,1.4835638192864509,0.5583333333333333,2635,64-35-10,64-35-10,0.75,4,0.1
svd_crossover_same_dim,0,0,115,1.4743036168796644,0.5555555555555556,2635,64-35-10,64-35-10,0.55,7,0.1
svd_crossover_same_dim,0,0,116,1.4641751918037358,0.5611111111111111,3389,64-35-24-10,64-35-10,0.3,8,0.0
svd_crossover_same_dim,0,0,117,1.4612501691247304,0.5527777777777778,3297,64-35-22-10,64-35-10,0.45,8,0.0
svd_crossover_same_dim,0,0,118,1.4526653617826903,0.5611111111111111,3345,64-34-25-10,64-35-10,0.35,7,0.1
svd_crossover_same_dim,0,0,119,1.448350045292865,0.5611111111111111,2560,64-34-10,64-34-25-10,0.25,9,0.05
svd_crossover_same_dim,0,0,120,1.4440220569373101,0.5583333333333333,2560,64-34-10,64-34-25-10,0.45,5,0.0
svd_crossover_same_dim,0,0,121,1.4440220569373101,0.5583333333333333,2560,64-34-10,64-34-10,0.35,5,0.0
svd_crossover_same_dim,0,0,122,1.4333190821782473,0.5583333333333333,2485,64-33-10,64-34-10,0.35,8,0.0
svd_crossover_same_dim,0,0,123,1.424651948549507,0.5638888888888889,3255,64-33-25-10,64-34-10,0.6,6,0.05
svd_crossover_same_dim,0,0,124,1.4247513707051755,0.5555555555555556,2560,64-34-10,64-34-10,0.55,5,0.0
svd_crossover_same_dim,0,0,125,1.4247513707051755,0.5555555555555556,2560,64-34-10,64-34-10,0.7,4,0.05
svd_crossover_same_dim,0,0,126,1.4179337053633836,0.5555555555555556,2485,64-33-10,64-34-10,0.85,4,0.05
svd_crossover_same_dim,0,0,127,1.413828818144706,0.5527777777777778,2485,64-33-10,64-34-10,0.7,5,0.0
svd_crossover_same_dim,0,0,128,1.413828818144706,0.5527777777777778,2485,64-33-10,64-34-10,0.6,4,0.0
svd_crossover_same_dim,0,0,129,1.4042235324177221,0.5555555555555556,2485,64-33-10,64-34-10,0.6,3,0.0
svd_crossover_same_dim,0,0,130,1.4042235324177221,0.5555555555555556,2485,64-33-10,64-33-10,0.65,2,0.0
svd_crossover_same_dim,0,0,131,1.3963739147280971,0.5555555555555556,2410,64-32-10,64-33-10,0.45,5,0.05
